occ_soc,bls_occ_title,occ_acs,acs_occ_title,tot_emp,dup_acs_dum
51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",8465,"Other textile, apparel, and furnishings workers",14520,1
51-6092,Fabric and apparel patternmakers,8465,"Other textile, apparel, and furnishings workers",2670,1
51-6099,"Textile, apparel, and furnishings workers, all other",8465,"Other textile, apparel, and furnishings workers",15080,1
51-7031,"Model makers, wood",8555,Other woodworkers,590,1
51-7032,"Patternmakers, wood",8555,Other woodworkers,260,1
51-7099,"Woodworkers, all other",8555,Other woodworkers,7830,1
51-8011,Nuclear power reactor operators,8600,"Power plant operators, distributors, and dispatchers",5760,1
51-8012,Power distributors and dispatchers,8600,"Power plant operators, distributors, and dispatchers",9040,1
51-8013,Power plant operators,8600,"Power plant operators, distributors, and dispatchers",31490,1
51-8091,Chemical plant and system operators,8630,Miscellaneous plant and system operators,17980,1
51-8092,Gas plant operators,8630,Miscellaneous plant and system operators,15930,1
51-8093,"Petroleum pump system operators, refinery operators, and gaugers",8630,Miscellaneous plant and system operators,33360,1
51-8099,"Plant and system operators, all other",8630,Miscellaneous plant and system operators,15370,1
51-9011,Chemical equipment operators and tenders,8640,"Chemical processing machine setters, operators, and tenders",120260,1
51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",8640,"Chemical processing machine setters, operators, and tenders",53170,1
51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",8650,"Crushing, grinding, polishing, mixing, and blending workers",26210,1
51-9022,"Grinding and polishing workers, hand",8650,"Crushing, grinding, polishing, mixing, and blending workers",12290,1
51-9023,"Mixing and blending machine setters, operators, and tenders",8650,"Crushing, grinding, polishing, mixing, and blending workers",105740,1
51-9031,"Cutters and trimmers, hand",8710,Cutting workers,7220,1
51-9032,"Cutting and slicing machine setters, operators, and tenders",8710,Cutting workers,52720,1
51-9081,Dental laboratory technicians,8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,34190,1
51-9082,Medical appliance technicians,8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,12550,1
51-9083,Ophthalmic laboratory technicians,8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,18240,1
51-9123,"Painting, coating, and decorating workers",8810,Painting workers,10700,1
51-9124,"Coating, painting, and spraying machine setters, operators, and tenders",8810,Painting workers,155880,1
51-9141,Semiconductor processing technicians,8990,"Miscellaneous production workers, including equipment operators and tenders",26450,1
51-9161,Computer numerically controlled tool operators,7905,Computer numerically controlled tool operators and programmers,187670,1
51-9162,Computer numerically controlled tool programmers,7905,Computer numerically controlled tool operators and programmers,28030,1
51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",8990,"Miscellaneous production workers, including equipment operators and tenders",15210,1
51-9193,Cooling and freezing equipment operators and tenders,8990,"Miscellaneous production workers, including equipment operators and tenders",6500,1
51-9199,"Production workers, all other",8990,"Miscellaneous production workers, including equipment operators and tenders",243500,1
53-1041,Aircraft cargo handling supervisors,9005,Supervisors of transportation and material moving workers,9020,1
53-1047,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",9005,Supervisors of transportation and material moving workers,594330,1
53-2011,"Airline pilots, copilots, and flight engineers",9030,Aircraft pilots and flight engineers,93670,1
53-2012,Commercial pilots,9030,Aircraft pilots and flight engineers,52750,1
53-2021,Air traffic controllers,9040,Air traffic controllers and airfield operations specialists,22310,1
53-2022,Airfield operations specialists,9040,Air traffic controllers and airfield operations specialists,18320,1
53-3031,Driver/sales workers,9130,Driver/sales workers and truck drivers,463120,1
53-3032,Heavy and tractor-trailer truck drivers,9130,Driver/sales workers and truck drivers,2044400,1
53-3033,Light truck drivers,9130,Driver/sales workers and truck drivers,1003960,1
53-4011,Locomotive engineers,9210,Locomotive engineers and operators,32390,1
53-4013,"Rail yard engineers, dinkey operators, and hostlers",9210,Locomotive engineers and operators,2430,1
53-4022,"Railroad brake, signal, and switch operators and locomotive firers",9265,Other rail transportation workers,13610,1
53-4041,Subway and streetcar operators,9265,Other rail transportation workers,14860,1
53-4099,"Rail transportation workers, all other",9265,Other rail transportation workers,1830,1
53-5011,Sailors and marine oilers,9300,"Sailors and marine oilers, and ship engineers",29960,1
53-5021,"Captains, mates, and pilots of water vessels",9310,Ship and boat captains and operators,34520,1
53-5022,Motorboat operators,9310,Ship and boat captains and operators,2710,1
53-5031,Ship engineers,9300,"Sailors and marine oilers, and ship engineers",8860,1
53-6011,Bridge and lock tenders,9430,Other transportation workers,3460,1
53-6031,Automotive and watercraft service attendants,9365,Transportation service attendants,92530,1
53-6032,Aircraft service attendants,9365,Transportation service attendants,24940,1
53-6041,Traffic technicians,9430,Other transportation workers,7530,1
53-6099,"Transportation workers, all other",9430,Other transportation workers,10940,1
53-7011,Conveyor operators and tenders,9570,"Conveyor, dredge, and hoist and winch operators",24660,1
53-7031,Dredge operators,9570,"Conveyor, dredge, and hoist and winch operators",940,1
53-7041,Hoist and winch operators,9570,"Conveyor, dredge, and hoist and winch operators",2230,1
53-7071,Gas compressor and gas pumping station operators,9650,Pumping station operators,4400,1
53-7072,"Pump operators, except wellhead pumpers",9650,Pumping station operators,11570,1
53-7073,Wellhead pumpers,9650,Pumping station operators,18230,1
53-7121,"Tank car, truck, and ship loaders",9760,Other material moving workers,11400,1
53-7199,"Material moving workers, all other",9760,Other material moving workers,23970,1
